구,연도,항목,예측값,모델
노원구,2024,뺑소니_부상자수,11.704239528626204,다항회귀
도봉구,2024,뺑소니_부상자수,0.5775674879550934,다항회귀
동대문구,2024,뺑소니_부상자수,38.99667618330568,다항회귀
동작구,2024,뺑소니_부상자수,8.747355613857508,다항회귀
마포구,2024,뺑소니_부상자수,107.4678953634575,다항회귀
서대문구,2024,뺑소니_부상자수,32.45072988560423,다항회귀
서초구,2024,뺑소니_부상자수,174.55365379026625,다항회귀
성동구,2024,뺑소니_부상자수,31.968187168240547,다항회귀
성북구,2024,뺑소니_부상자수,0.0,다항회귀
송파구,2024,뺑소니_부상자수,110.08997451954201,다항회귀
양천구,2024,뺑소니_부상자수,66.07102962583303,다항회귀
영등포구,2024,뺑소니_부상자수,68.9368991353549,다항회귀
용산구,2024,뺑소니_부상자수,222.00961673352867,다항회귀
은평구,2024,뺑소니_부상자수,48.19688189798035,다항회귀
종로구,2024,뺑소니_부상자수,31.31383842555806,다항회귀
중구,2024,뺑소니_부상자수,28.963129826821387,다항회귀
중랑구,2024,뺑소니_부상자수,31.942967914044857,다항회귀
강남구,2024,뺑소니_사망자수,0.0,다항회귀
강동구,2024,뺑소니_사망자수,1.6550944855607668,다항회귀
강북구,2024,뺑소니_사망자수,0.993685023218859,다항회귀
강서구,2024,뺑소니_사망자수,0.06474009639350697,다항회귀
관악구,2024,뺑소니_사망자수,3.0198821891099215,다항회귀
광진구,2024,뺑소니_사망자수,0.7059968332760036,다항회귀
구로구,2024,뺑소니_사망자수,0.1277300042565912,다항회귀
금천구,2024,뺑소니_사망자수,0.0,다항회귀
노원구,2024,뺑소니_사망자수,0.0,다항회귀
도봉구,2024,뺑소니_사망자수,0.13034271146170795,다항회귀
동대문구,2024,뺑소니_사망자수,4.4197387006133795,다항회귀
동작구,2024,뺑소니_사망자수,0.05660974042257294,다항회귀
마포구,2024,뺑소니_사망자수,0.028286801854847,다항회귀
서대문구,2024,뺑소니_사망자수,1.301733134787355,다항회귀
서초구,2024,뺑소니_사망자수,0.0,다항회귀
성동구,2024,뺑소니_사망자수,0.0,다항회귀
성북구,2024,뺑소니_사망자수,0.7097525840217713,다항회귀
송파구,2024,뺑소니_사망자수,0.0,다항회귀
양천구,2024,뺑소니_사망자수,0.20445298147387803,다항회귀
영등포구,2024,뺑소니_사망자수,2.380748452851549,다항회귀
용산구,2024,뺑소니_사망자수,2.2429443244618597,다항회귀
은평구,2024,뺑소니_사망자수,0.0,다항회귀
종로구,2024,뺑소니_사망자수,0.18275363522116095,다항회귀
중구,2024,뺑소니_사망자수,0.0,다항회귀
중랑구,2024,뺑소니_사망자수,0.0496652836445719,다항회귀
강남구,2024,자전거_발생건수,111.62554425001144,다항회귀
강동구,2024,자전거_발생건수,271.71463472326286,다항회귀
강북구,2024,자전거_발생건수,105.30388453230262,다항회귀
강서구,2024,자전거_발생건수,177.77329332754016,다항회귀
관악구,2024,자전거_발생건수,41.43470606952906,다항회귀
광진구,2024,자전거_발생건수,74.65387115068734,다항회귀
구로구,2024,자전거_발생건수,137.2836283231154,다항회귀
금천구,2024,자전거_발생건수,40.85531084612012,다항회귀
노원구,2024,자전거_발생건수,71.56657701730728,다항회귀
도봉구,2024,자전거_발생건수,63.29870781302452,다항회귀
동대문구,2024,자전거_발생건수,367.6987421698868,다항회귀
동작구,2024,자전거_발생건수,81.20656895736465,다항회귀
마포구,2024,자전거_발생건수,62.396544306539,다항회귀
서대문구,2024,자전거_발생건수,50.49545532371849,다항회귀
서초구,2024,자전거_발생건수,85.50428539008135,다항회귀
성동구,2024,자전거_발생건수,116.74120450112969,다항회귀
성북구,2024,자전거_발생건수,62.99709707079455,다항회귀
송파구,2024,자전거_발생건수,260.58928019180894,다항회귀
양천구,2024,자전거_발생건수,109.54462962597609,다항회귀
영등포구,2024,자전거_발생건수,211.49833366461098,다항회귀
용산구,2024,자전거_발생건수,91.15061443392187,다항회귀
은평구,2024,자전거_발생건수,97.35669730586233,다항회귀
종로구,2024,자전거_발생건수,34.94610946837929,다항회귀
중구,2024,자전거_발생건수,50.917104060034035,다항회귀
중랑구,2024,자전거_발생건수,134.591901704669,다항회귀
강남구,2024,자전거_사망자수,0.0,다항회귀
강동구,2024,자전거_사망자수,0.0,다항회귀
강북구,2024,자전거_사망자수,2.088331693143118,다항회귀
강서구,2024,자전거_사망자수,0.0,다항회귀
관악구,2024,자전거_사망자수,3.297622918849811,다항회귀
광진구,2024,자전거_사망자수,0.6069449605420232,다항회귀
구로구,2024,자전거_사망자수,0.0,다항회귀
금천구,2024,자전거_사망자수,1.2216933464223985,다항회귀
노원구,2024,자전거_사망자수,3.076000221306458,다항회귀
도봉구,2024,자전거_사망자수,0.719819915597327,다항회귀
동대문구,2024,자전거_사망자수,0.0,다항회귀
동작구,2024,자전거_사망자수,0.10978085704846308,다항회귀
마포구,2024,자전거_사망자수,1.8026429909587023,다항회귀
서대문구,2024,자전거_사망자수,0.34036072961316677,다항회귀
서초구,2024,자전거_사망자수,0.0,다항회귀
성동구,2024,자전거_사망자수,0.3945435354762594,다항회귀
성북구,2024,자전거_사망자수,1.8022366269724444,다항회귀
송파구,2024,자전거_사망자수,2.9595809549973637,다항회귀
양천구,2024,자전거_사망자수,3.448706236667931,다항회귀
영등포구,2024,자전거_사망자수,0.0,다항회귀
용산구,2024,자전거_사망자수,0.6679795671989268,다항회귀
은평구,2024,자전거_사망자수,0.0,다항회귀
종로구,2024,자전거_사망자수,0.5408998611674178,다항회귀
중구,2024,자전거_사망자수,0.0,다항회귀
중랑구,2024,자전거_사망자수,0.6724892491474748,다항회귀
강남구,2024,자전거_부상자수,133.65373501833528,다항회귀
강동구,2024,자전거_부상자수,288.6609177184291,다항회귀
강북구,2024,자전거_부상자수,101.54957530274987,다항회귀
강서구,2024,자전거_부상자수,197.0211514616385,다항회귀
관악구,2024,자전거_부상자수,37.93604989349842,다항회귀
광진구,2024,자전거_부상자수,88.45768228173256,다항회귀
구로구,2024,자전거_부상자수,153.39372429065406,다항회귀
금천구,2024,자전거_부상자수,46.79711091192439,다항회귀
노원구,2024,자전거_부상자수,63.01956211030483,다항회귀
도봉구,2024,자전거_부상자수,67.09511514008045,다항회귀
동대문구,2024,자전거_부상자수,420.38211910799146,다항회귀
동작구,2024,자전거_부상자수,90.37093528336845,다항회귀
마포구,2024,자전거_부상자수,65.141193642281,다항회귀
서대문구,2024,자전거_부상자수,50.23580779880285,다항회귀
서초구,2024,자전거_부상자수,91.66570860694628,다항회귀
성동구,2024,자전거_부상자수,130.9516397388652,다항회귀
성북구,2024,자전거_부상자수,67.43778786249459,다항회귀
송파구,2024,자전거_부상자수,280.6064493600279,다항회귀
양천구,2024,자전거_부상자수,117.19969126209617,다항회귀
영등포구,2024,자전거_부상자수,216.715394731611,다항회귀
용산구,2024,자전거_부상자수,86.6421921690926,다항회귀
은평구,2024,자전거_부상자수,108.5373868450406,다항회귀
종로구,2024,자전거_부상자수,38.31721299467608,다항회귀
중구,2024,자전거_부상자수,54.39245011677849,다항회귀
중랑구,2024,자전거_부상자수,154.8123809993267,다항회귀
강남구,2024,차대사람_사상자수,810.5831438396126,다항회귀
강동구,2024,차대사람_사상자수,439.0255013820715,다항회귀
강북구,2024,차대사람_사상자수,206.37253745272756,다항회귀
강서구,2024,차대사람_사상자수,380.27649604016915,다항회귀
관악구,2024,차대사람_사상자수,269.4483685195446,다항회귀
광진구,2024,차대사람_사상자수,160.9442631509155,다항회귀
구로구,2024,차대사람_사상자수,317.94116492941976,다항회귀
금천구,2024,차대사람_사상자수,166.70300804451108,다항회귀
노원구,2024,차대사람_사상자수,297.19388149678707,다항회귀
도봉구,2024,차대사람_사상자수,155.05705738067627,다항회귀
동대문구,2024,차대사람_사상자수,142.2654122337699,다항회귀
동작구,2024,차대사람_사상자수,321.17951852828264,다항회귀
마포구,2024,차대사람_사상자수,267.07911900116596,다항회귀
서대문구,2024,차대사람_사상자수,139.51020454475656,다항회귀
서초구,2024,차대사람_사상자수,281.46725098602474,다항회귀
성동구,2024,차대사람_사상자수,225.31037379888585,다항회귀
성북구,2024,차대사람_사상자수,281.3239331310615,다항회귀
송파구,2024,차대사람_사상자수,493.18996251467615,다항회귀
양천구,2024,차대사람_사상자수,300.31077042222023,다항회귀
영등포구,2024,차대사람_사상자수,160.13978163152933,다항회귀
용산구,2024,차대사람_사상자수,336.1612760722637,다항회귀
은평구,2024,차대사람_사상자수,365.3945394968614,다항회귀
종로구,2024,차대사람_사상자수,228.86264821421355,다항회귀
중구,2024,차대사람_사상자수,236.70394949801266,다항회귀
중랑구,2024,차대사람_사상자수,291.92870280891657,다항회귀
강남구,2024,차대차_사상자수,3787.9746447615325,다항회귀
강동구,2024,차대차_사상자수,1397.959866083227,다항회귀
강북구,2024,차대차_사상자수,858.4776776582003,다항회귀
강서구,2024,차대차_사상자수,1757.1719065029174,다항회귀
관악구,2024,차대차_사상자수,1234.6861247718334,다항회귀
광진구,2024,차대차_사상자수,692.38388197124,다항회귀
구로구,2024,차대차_사상자수,1421.5227056629956,다항회귀
금천구,2024,차대차_사상자수,859.2613350600004,다항회귀
노원구,2024,차대차_사상자수,1530.8684629574418,다항회귀
도봉구,2024,차대차_사상자수,491.26789589226246,다항회귀
동대문구,2024,차대차_사상자수,1814.654885828495,다항회귀
동작구,2024,차대차_사상자수,1281.0149348564446,다항회귀
마포구,2024,차대차_사상자수,1390.8213619561866,다항회귀
서대문구,2024,차대차_사상자수,822.2249049171805,다항회귀
서초구,2024,차대차_사상자수,2523.3555890768766,다항회귀
성동구,2024,차대차_사상자수,930.2954863226041,다항회귀
성북구,2024,차대차_사상자수,1307.8411799892783,다항회귀
송파구,2024,차대차_사상자수,3019.162597095594,다항회귀
양천구,2024,차대차_사상자수,1382.0863006561995,다항회귀
