district,year,metric,value
강북구,2020,부상자수 (명),1420.0
강북구,2020,사망자수 (명),3.0
강북구,2020,인구 10만명당 부상자수 (명),455.8
강북구,2020,인구 10만명당 사망자수 (명),1.0
강북구,2020,자동차 1만대당 발생건수 (건),110.9
강북구,2021,발생건수 (건),1017.0
강북구,2021,부상자수 (명),1302.0
강북구,2021,사망자수 (명),6.0
강북구,2021,인구 10만명당 부상자수 (명),430.3
강북구,2021,인구 10만명당 사망자수 (명),2.0
강북구,2021,자동차 1만대당 발생건수 (건),109.4
강북구,2022,발생건수 (건),1044.0
강북구,2022,부상자수 (명),1266.0
강북구,2022,사망자수 (명),6.0
강북구,2022,인구 10만명당 부상자수 (명),425.3
강북구,2022,인구 10만명당 사망자수 (명),2.0
강북구,2022,자동차 1만대당 발생건수 (건),112.0
강북구,2023,발생건수 (건),972.0
강북구,2023,부상자수 (명),1217.0
강북구,2023,사망자수 (명),5.0
강북구,2023,인구 10만명당 부상자수 (명),415.4
강북구,2023,인구 10만명당 사망자수 (명),1.7
강북구,2023,자동차 1만대당 발생건수 (건),105.0
강서구,2005,발생건수 (건),1794.0
강서구,2005,부상자수 (명),2725.0
강서구,2005,사망자수 (명),19.0
강서구,2005,인구 10만명당 부상자수 (명),488.9
강서구,2005,인구 10만명당 사망자수 (명),3.4
강서구,2005,자동차 1만대당 발생건수 (건),104.2
강서구,2006,발생건수 (건),1687.0
강서구,2006,부상자수 (명),2437.0
강서구,2006,사망자수 (명),24.0
강서구,2006,인구 10만명당 부상자수 (명),435.3
강서구,2006,인구 10만명당 사망자수 (명),4.3
강서구,2006,자동차 1만대당 발생건수 (건),95.2
강서구,2007,발생건수 (건),1769.0
강서구,2007,부상자수 (명),2484.0
강서구,2007,사망자수 (명),19.0
강서구,2007,인구 10만명당 부상자수 (명),438.5
강서구,2007,인구 10만명당 사망자수 (명),3.4
강서구,2007,자동차 1만대당 발생건수 (건),97.1
강서구,2008,발생건수 (건),2056.0
강서구,2008,부상자수 (명),2811.0
강서구,2008,사망자수 (명),22.0
강서구,2008,인구 10만명당 부상자수 (명),481.7
강서구,2008,인구 10만명당 사망자수 (명),3.8
강서구,2008,자동차 1만대당 발생건수 (건),109.2
강서구,2009,발생건수 (건),1994.0
강서구,2009,부상자수 (명),2867.0
강서구,2009,사망자수 (명),15.0
강서구,2009,인구 10만명당 부상자수 (명),495.0
강서구,2009,인구 10만명당 사망자수 (명),2.6
강서구,2009,자동차 1만대당 발생건수 (건),104.3
강서구,2010,발생건수 (건),1872.0
강서구,2010,부상자수 (명),2594.0
강서구,2010,사망자수 (명),21.0
강서구,2010,인구 10만명당 부상자수 (명),446.9
강서구,2010,인구 10만명당 사망자수 (명),3.6
강서구,2010,자동차 1만대당 발생건수 (건),95.1
강서구,2011,발생건수 (건),1885.0
강서구,2011,부상자수 (명),2740.0
강서구,2011,사망자수 (명),16.0
강서구,2011,인구 10만명당 부상자수 (명),475.8
강서구,2011,인구 10만명당 사망자수 (명),2.8
강서구,2011,자동차 1만대당 발생건수 (건),96.6
강서구,2012,발생건수 (건),1767.0
강서구,2012,부상자수 (명),2573.0
강서구,2012,사망자수 (명),25.0
강서구,2012,인구 10만명당 부상자수 (명),448.4
강서구,2012,인구 10만명당 사망자수 (명),4.4
강서구,2012,자동차 1만대당 발생건수 (건),90.9
강서구,2013,발생건수 (건),1715.0
강서구,2013,부상자수 (명),2517.0
강서구,2013,사망자수 (명),26.0
강서구,2013,인구 10만명당 부상자수 (명),437.6
강서구,2013,인구 10만명당 사망자수 (명),4.5
강서구,2013,자동차 1만대당 발생건수 (건),88.4
강서구,2014,발생건수 (건),1806.0
강서구,2014,부상자수 (명),2614.0
강서구,2014,사망자수 (명),32.0
강서구,2014,인구 10만명당 부상자수 (명),441.8
강서구,2014,인구 10만명당 사망자수 (명),5.4
강서구,2014,자동차 1만대당 발생건수 (건),88.6
강서구,2015,발생건수 (건),1932.0
강서구,2015,부상자수 (명),2762.0
강서구,2015,사망자수 (명),12.0
강서구,2015,인구 10만명당 부상자수 (명),463.7
