자치구,연도,거주인구,버스승객수,지하철_승객_수,승객수,발생건수,부상자수
성동구,2010,315419.0,0.0,0.0,0.0,0.0,0.0
성동구,2011,312149.25,0.0,0.0,0.0,0.0,0.0
성동구,2012,307531.25,0.0,0.0,0.0,0.0,0.0
성동구,2013,308200.0,0.0,0.0,0.0,0.0,0.0
성동구,2014,305733.0,0.0,0.0,0.0,0.0,0.0
성동구,2015,305298.75,0.0,0.0,0.0,0.0,0.0
성동구,2016,305689.25,0.0,0.0,0.0,0.0,0.0
성동구,2017,312179.75,4706294.25,4980457.67,9801522.75,90.0,124.75
성동구,2018,316069.75,5194039.25,5142419.5,10536556.75,95.25,130.08
성동구,2019,311967.0,4916097.33,4781196.08,9885369.83,90.92,119.92
성동구,2020,303811.0,4565338.75,4940950.42,9593618.33,93.25,123.42
성동구,2021,295250.0,4568022.42,4997027.08,9621493.25,88.08,113.5
성동구,2022,289862.0,2845999.5,5336617.08,8149270.17,79.0,101.83
성동구,2023,286028.25,2936478.17,5848289.42,8709113.67,76.58,101.75
성북구,2005,0.0,0.0,0.0,0.0,0.0,0.0
성북구,2006,0.0,0.0,0.0,0.0,0.0,0.0
성북구,2007,0.0,0.0,0.0,0.0,0.0,0.0
성북구,2008,480359.0,0.0,0.0,0.0,0.0,0.0
성북구,2009,484018.5,0.0,0.0,0.0,0.0,0.0
성북구,2010,488157.0,0.0,0.0,0.0,0.0,0.0
성북구,2011,496747.25,0.0,0.0,0.0,0.0,0.0
성북구,2012,492453.0,0.0,0.0,0.0,0.0,0.0
성북구,2013,488456.25,0.0,0.0,0.0,0.0,0.0
성북구,2014,480663.0,0.0,0.0,0.0,0.0,0.0
성북구,2015,472852.75,0.0,0.0,0.0,0.0,0.0
성북구,2016,465490.75,0.0,0.0,0.0,0.0,0.0
성북구,2017,458551.0,5313830.5,5414494.25,10832902.67,129.75,172.33
성북구,2018,450748.0,5532711.0,5319690.0,11035429.75,118.92,165.0
성북구,2019,452792.75,5437869.58,5281289.5,10893486.75,125.75,167.25
성북구,2020,450937.25,4736318.33,4276779.75,9082733.92,106.25,135.17
성북구,2021,442340.0,4836243.5,4598075.5,9474462.42,107.08,133.83
성북구,2022,442770.75,6359746.75,3590625.75,9928241.5,107.33,135.5
성북구,2023,440294.25,6613393.0,3900797.25,10425467.08,104.67,131.75
송파구,2005,0.0,0.0,0.0,0.0,0.0,0.0
송파구,2006,0.0,0.0,0.0,0.0,0.0,0.0
송파구,2007,0.0,0.0,0.0,0.0,0.0,0.0
송파구,2008,650910.75,0.0,0.0,0.0,0.0,0.0
송파구,2009,689526.75,0.0,0.0,0.0,0.0,0.0
송파구,2010,689915.75,0.0,0.0,0.0,0.0,0.0
송파구,2011,691986.5,0.0,0.0,0.0,0.0,0.0
송파구,2012,686513.5,0.0,0.0,0.0,0.0,0.0
송파구,2013,674845.0,0.0,0.0,0.0,0.0,0.0
송파구,2014,675796.75,0.0,0.0,0.0,0.0,0.0
송파구,2015,670581.0,0.0,0.0,0.0,0.0,0.0
송파구,2016,663467.0,0.0,0.0,0.0,0.0,0.0
송파구,2017,668730.0,6865783.25,8477093.25,15435452.5,229.83,317.08
송파구,2018,673061.0,7405353.25,8801387.75,16385028.75,238.33,327.67
