구,연월,거주인구
노원구,2010-06,613120.0
은평구,2010-06,475538.0
서대문구,2010-06,334709.0
마포구,2010-06,391578.0
양천구,2010-06,502933.0
강서구,2010-06,577806.0
구로구,2010-06,448882.0
금천구,2010-06,261435.0
영등포구,2010-06,439489.0
동작구,2010-06,407947.0
관악구,2010-06,545594.0
서초구,2010-06,433435.0
강남구,2010-06,570163.0
송파구,2010-06,688764.0
강동구,2010-06,492233.0
종로구,2010-07,175049.0
중구,2010-07,137361.0
용산구,2010-07,250069.0
성동구,2010-07,313666.0
광진구,2010-07,384118.0
동대문구,2010-07,373092.0
중랑구,2010-07,428252.0
성북구,2010-07,486982.0
강북구,2010-07,344727.0
도봉구,2010-07,367861.0
노원구,2010-07,611692.0
은평구,2010-07,480750.0
서대문구,2010-07,331585.0
마포구,2010-07,393119.0
양천구,2010-07,501852.0
강서구,2010-07,576160.0
구로구,2010-07,447610.0
금천구,2010-07,260549.0
영등포구,2010-07,437320.0
동작구,2010-07,408887.0
관악구,2010-07,543800.0
서초구,2010-07,433463.0
강남구,2010-07,569512.0
송파구,2010-07,687846.0
강동구,2010-07,492004.0
종로구,2010-08,175049.0
중구,2010-08,137361.0
용산구,2010-08,250069.0
성동구,2010-08,313666.0
광진구,2010-08,384118.0
동대문구,2010-08,373092.0
중랑구,2010-08,428252.0
성북구,2010-08,486982.0
강북구,2010-08,344727.0
도봉구,2010-08,367861.0
노원구,2010-08,611692.0
은평구,2010-08,480750.0
서대문구,2010-08,331585.0
마포구,2010-08,393119.0
양천구,2010-08,501852.0
강서구,2010-08,576160.0
구로구,2010-08,447610.0
금천구,2010-08,260549.0
영등포구,2010-08,437320.0
동작구,2010-08,408887.0
관악구,2010-08,543800.0
서초구,2010-08,433463.0
강남구,2010-08,569512.0
송파구,2010-08,687846.0
강동구,2010-08,492004.0
종로구,2010-09,175049.0
중구,2010-09,137361.0
용산구,2010-09,250069.0
성동구,2010-09,313666.0
광진구,2010-09,384118.0
동대문구,2010-09,373092.0
중랑구,2010-09,428252.0
성북구,2010-09,486982.0
강북구,2010-09,344727.0
도봉구,2010-09,367861.0
노원구,2010-09,611692.0
은평구,2010-09,480750.0
서대문구,2010-09,331585.0
마포구,2010-09,393119.0
양천구,2010-09,501852.0
강서구,2010-09,576160.0
구로구,2010-09,447610.0
금천구,2010-09,260549.0
영등포구,2010-09,437320.0
동작구,2010-09,408887.0
관악구,2010-09,543800.0
서초구,2010-09,433463.0
강남구,2010-09,569512.0
송파구,2010-09,687846.0
강동구,2010-09,492004.0
종로구,2010-10,179362.0
중구,2010-10,141200.0
용산구,2010-10,257143.0
성동구,2010-10,316892.0
광진구,2010-10,388775.0
동대문구,2010-10,379343.0
중랑구,2010-10,432302.0
성북구,2010-10,497692.0
강북구,2010-10,350007.0
도봉구,2010-10,370734.0
노원구,2010-10,615425.0
은평구,2010-10,492925.0
서대문구,2010-10,333871.0
마포구,2010-10,400464.0
양천구,2010-10,505223.0
강서구,2010-10,580506.0
구로구,2010-10,452667.0
금천구,2010-10,264544.0
영등포구,2010-10,445648.0
동작구,2010-10,413814.0
관악구,2010-10,549736.0
서초구,2010-10,440021.0
강남구,2010-10,577070.0
송파구,2010-10,693144.0
강동구,2010-10,496939.0
종로구,2010-11,179362.0
중구,2010-11,141200.0
용산구,2010-11,257143.0
성동구,2010-11,316892.0
광진구,2010-11,388775.0
동대문구,2010-11,379343.0
중랑구,2010-11,432302.0
성북구,2010-11,497692.0
강북구,2010-11,350007.0
도봉구,2010-11,370734.0
노원구,2010-11,615425.0
은평구,2010-11,492925.0
서대문구,2010-11,333871.0
마포구,2010-11,400464.0
양천구,2010-11,505223.0
강서구,2010-11,580506.0
구로구,2010-11,452667.0
금천구,2010-11,264544.0
영등포구,2010-11,445648.0
동작구,2010-11,413814.0
관악구,2010-11,549736.0
서초구,2010-11,440021.0
강남구,2010-11,577070.0
송파구,2010-11,693144.0
강동구,2010-11,496939.0
종로구,2010-12,179362.0
중구,2010-12,141200.0
용산구,2010-12,257143.0
성동구,2010-12,316892.0
광진구,2010-12,388775.0
동대문구,2010-12,379343.0
중랑구,2010-12,432302.0
성북구,2010-12,497692.0
강북구,2010-12,350007.0
도봉구,2010-12,370734.0
노원구,2010-12,615425.0
은평구,2010-12,492925.0
서대문구,2010-12,333871.0
마포구,2010-12,400464.0
양천구,2010-12,505223.0
강서구,2010-12,580506.0
구로구,2010-12,452667.0
금천구,2010-12,264544.0
영등포구,2010-12,445648.0
동작구,2010-12,413814.0
관악구,2010-12,549736.0
서초구,2010-12,440021.0
강남구,2010-12,577070.0
송파구,2010-12,693144.0
강동구,2010-12,496939.0
종로구,2011-01,179068.0
중구,2011-01,141401.0
용산구,2011-01,257881.0
성동구,2011-01,314993.0
광진구,2011-01,388811.0
동대문구,2011-01,380320.0
중랑구,2011-01,431787.0
성북구,2011-01,498616.0
강북구,2011-01,349943.0
도봉구,2011-01,370209.0
노원구,2011-01,612587.0
은평구,2011-01,496310.0
서대문구,2011-01,331607.0
마포구,2011-01,402028.0
양천구,2011-01,503867.0
강서구,2011-01,579669.0
구로구,2011-01,453364.0
금천구,2011-01,265159.0
영등포구,2011-01,447738.0
동작구,2011-01,414191.0
관악구,2011-01,550800.0
서초구,2011-01,440188.0
강남구,2011-01,576453.0
송파구,2011-01,692962.0
강동구,2011-01,501776.0
종로구,2011-02,179068.0
중구,2011-02,141401.0
용산구,2011-02,257881.0
성동구,2011-02,314993.0
광진구,2011-02,388811.0
동대문구,2011-02,380320.0
중랑구,2011-02,431787.0
성북구,2011-02,498616.0
강북구,2011-02,349943.0
도봉구,2011-02,370209.0
노원구,2011-02,612587.0
은평구,2011-02,496310.0
서대문구,2011-02,331607.0
마포구,2011-02,402028.0
양천구,2011-02,503867.0
강서구,2011-02,579669.0
구로구,2011-02,453364.0
금천구,2011-02,265159.0
영등포구,2011-02,447738.0
동작구,2011-02,414191.0
관악구,2011-02,550800.0
서초구,2011-02,440188.0
강남구,2011-02,576453.0
송파구,2011-02,692962.0
강동구,2011-02,501776.0
종로구,2011-03,179068.0
중구,2011-03,141401.0
용산구,2011-03,257881.0
성동구,2011-03,314993.0
광진구,2011-03,388811.0
동대문구,2011-03,380320.0
중랑구,2011-03,431787.0
성북구,2011-03,498616.0
강북구,2011-03,349943.0
도봉구,2011-03,370209.0
노원구,2011-03,612587.0
은평구,2011-03,496310.0
서대문구,2011-03,331607.0
마포구,2011-03,402028.0
양천구,2011-03,503867.0
강서구,2011-03,579669.0
구로구,2011-03,453364.0
금천구,2011-03,265159.0
영등포구,2011-03,447738.0
동작구,2011-03,414191.0
관악구,2011-03,550800.0
서초구,2011-03,440188.0
강남구,2011-03,576453.0
송파구,2011-03,692962.0
강동구,2011-03,501776.0
종로구,2011-04,178779.0
중구,2011-04,141083.0
용산구,2011-04,259659.0
성동구,2011-04,313333.0
광진구,2011-04,388347.0
동대문구,2011-04,379964.0
중랑구,2011-04,431029.0
성북구,2011-04,497395.0
강북구,2011-04,349354.0
도봉구,2011-04,369816.0
