district,metric,year,weather,count
중구,사망자 (명),2022,맑음,2
중구,사망자 (명),2022,비,-
중구,사망자 (명),2022,안개,-
중구,사망자 (명),2022,흐림,-
중구,사망자 (명),2023,눈,-
중구,사망자 (명),2023,맑음,3
중구,사망자 (명),2023,비,-
중구,사망자 (명),2023,안개,-
중구,사망자 (명),2023,흐림,-
중구,부상자 (명),2013,눈,15
중구,부상자 (명),2013,맑음,1626
중구,부상자 (명),2013,비,143
중구,부상자 (명),2013,안개,-
중구,부상자 (명),2013,흐림,180
중구,부상자 (명),2014,눈,10
중구,부상자 (명),2014,맑음,1477
중구,부상자 (명),2014,비,108
중구,부상자 (명),2014,안개,1
중구,부상자 (명),2014,흐림,174
중구,부상자 (명),2015,눈,4
중구,부상자 (명),2015,맑음,1487
중구,부상자 (명),2015,비,161
중구,부상자 (명),2015,안개,-
중구,부상자 (명),2015,흐림,146
중구,부상자 (명),2016,눈,7
중구,부상자 (명),2016,맑음,1476
중구,부상자 (명),2016,비,119
중구,부상자 (명),2016,안개,-
중구,부상자 (명),2016,흐림,113
중구,부상자 (명),2017,눈,6
중구,부상자 (명),2017,맑음,1510
중구,부상자 (명),2017,비,76
중구,부상자 (명),2017,안개,-
중구,부상자 (명),2017,흐림,87
중구,부상자 (명),2018,눈,8
중구,부상자 (명),2018,맑음,1340
중구,부상자 (명),2018,비,86
중구,부상자 (명),2018,안개,-
중구,부상자 (명),2018,흐림,63
중구,부상자 (명),2019,눈,1
중구,부상자 (명),2019,맑음,1456
중구,부상자 (명),2019,비,91
중구,부상자 (명),2019,안개,-
중구,부상자 (명),2019,흐림,64
중구,부상자 (명),2020,눈,-
중구,부상자 (명),2020,맑음,1067
중구,부상자 (명),2020,비,94
중구,부상자 (명),2020,안개,-
중구,부상자 (명),2020,흐림,84
중구,부상자 (명),2021,눈,4
중구,부상자 (명),2021,맑음,994
중구,부상자 (명),2021,비,49
중구,부상자 (명),2021,안개,-
중구,부상자 (명),2021,흐림,99
중구,부상자 (명),2022,눈,11
중구,부상자 (명),2022,맑음,1042
중구,부상자 (명),2022,비,65
중구,부상자 (명),2022,안개,-
중구,부상자 (명),2022,흐림,83
중구,부상자 (명),2023,눈,5
중구,부상자 (명),2023,맑음,1039
중구,부상자 (명),2023,비,67
중구,부상자 (명),2023,안개,-
중구,부상자 (명),2023,흐림,78
용산구,발생건수 (건),2013,눈,14
용산구,발생건수 (건),2013,맑음,1190
용산구,발생건수 (건),2013,비,97
용산구,발생건수 (건),2013,안개,-
용산구,발생건수 (건),2013,흐림,44
용산구,발생건수 (건),2014,눈,6
용산구,발생건수 (건),2014,맑음,1222
용산구,발생건수 (건),2014,비,64
용산구,발생건수 (건),2014,안개,-
용산구,발생건수 (건),2014,흐림,27
용산구,발생건수 (건),2015,눈,6
용산구,발생건수 (건),2015,맑음,1350
용산구,발생건수 (건),2015,비,118
용산구,발생건수 (건),2015,안개,-
용산구,발생건수 (건),2015,흐림,40
용산구,발생건수 (건),2016,눈,1
용산구,발생건수 (건),2016,맑음,1317
용산구,발생건수 (건),2016,비,76
용산구,발생건수 (건),2016,안개,-
용산구,발생건수 (건),2016,흐림,33
용산구,발생건수 (건),2017,눈,5
용산구,발생건수 (건),2017,맑음,1245
용산구,발생건수 (건),2017,비,48
용산구,발생건수 (건),2017,안개,-
용산구,발생건수 (건),2017,흐림,39
용산구,발생건수 (건),2018,눈,6
용산구,발생건수 (건),2018,맑음,1202
용산구,발생건수 (건),2018,비,69
용산구,발생건수 (건),2018,안개,-
용산구,발생건수 (건),2018,흐림,44
용산구,발생건수 (건),2019,눈,2
용산구,발생건수 (건),2019,맑음,1071
용산구,발생건수 (건),2019,비,69
용산구,발생건수 (건),2019,안개,-
용산구,발생건수 (건),2019,흐림,40
용산구,발생건수 (건),2020,눈,1
용산구,발생건수 (건),2020,맑음,804
용산구,발생건수 (건),2020,비,48
용산구,발생건수 (건),2020,안개,-
용산구,발생건수 (건),2020,흐림,25
용산구,발생건수 (건),2021,눈,7
용산구,발생건수 (건),2021,맑음,909
용산구,발생건수 (건),2021,비,66
용산구,발생건수 (건),2021,안개,-
용산구,발생건수 (건),2021,흐림,24
용산구,발생건수 (건),2022,눈,1
용산구,발생건수 (건),2022,맑음,865
용산구,발생건수 (건),2022,비,32
용산구,발생건수 (건),2022,안개,-
용산구,발생건수 (건),2022,흐림,38
용산구,발생건수 (건),2023,눈,3
용산구,발생건수 (건),2023,맑음,889
용산구,발생건수 (건),2023,비,39
용산구,발생건수 (건),2023,안개,-
용산구,발생건수 (건),2023,흐림,20
용산구,사망자 (명),2013,눈,-
용산구,사망자 (명),2013,맑음,9
용산구,사망자 (명),2013,비,2
용산구,사망자 (명),2013,안개,-
용산구,사망자 (명),2013,흐림,2
용산구,사망자 (명),2014,눈,-
용산구,사망자 (명),2014,맑음,7
용산구,사망자 (명),2014,비,1
용산구,사망자 (명),2014,안개,-
용산구,사망자 (명),2014,흐림,-
용산구,사망자 (명),2015,눈,-
용산구,사망자 (명),2015,맑음,17
용산구,사망자 (명),2015,비,1
용산구,사망자 (명),2015,안개,-
용산구,사망자 (명),2015,흐림,-
용산구,사망자 (명),2016,눈,-
용산구,사망자 (명),2016,맑음,10
용산구,사망자 (명),2016,비,1
용산구,사망자 (명),2016,안개,-
용산구,사망자 (명),2016,흐림,1
용산구,사망자 (명),2017,눈,-
용산구,사망자 (명),2017,맑음,11
용산구,사망자 (명),2017,비,-
용산구,사망자 (명),2017,안개,-
용산구,사망자 (명),2017,흐림,1
용산구,사망자 (명),2018,눈,-
용산구,사망자 (명),2018,맑음,12
용산구,사망자 (명),2018,비,-
용산구,사망자 (명),2018,안개,-
용산구,사망자 (명),2018,흐림,2
용산구,사망자 (명),2019,눈,-
용산구,사망자 (명),2019,맑음,9
용산구,사망자 (명),2019,비,1
용산구,사망자 (명),2019,안개,-
용산구,사망자 (명),2019,흐림,-
용산구,사망자 (명),2020,눈,-
용산구,사망자 (명),2020,맑음,9
용산구,사망자 (명),2020,비,1
용산구,사망자 (명),2020,안개,-
용산구,사망자 (명),2020,흐림,2
용산구,사망자 (명),2021,눈,-
용산구,사망자 (명),2021,맑음,5
용산구,사망자 (명),2021,비,-
용산구,사망자 (명),2021,안개,-
용산구,사망자 (명),2021,흐림,-
용산구,사망자 (명),2022,눈,-
용산구,사망자 (명),2022,맑음,10
용산구,사망자 (명),2022,비,-
용산구,사망자 (명),2022,안개,-
용산구,사망자 (명),2022,흐림,1
용산구,사망자 (명),2023,눈,-
용산구,사망자 (명),2023,맑음,8
용산구,사망자 (명),2023,비,2
용산구,사망자 (명),2023,안개,-
용산구,사망자 (명),2023,흐림,1
용산구,부상자 (명),2013,눈,21
용산구,부상자 (명),2013,맑음,1713
용산구,부상자 (명),2013,비,157
용산구,부상자 (명),2013,안개,-
용산구,부상자 (명),2013,흐림,68
용산구,부상자 (명),2014,눈,8
용산구,부상자 (명),2014,맑음,1789
용산구,부상자 (명),2014,비,102
용산구,부상자 (명),2014,안개,-
용산구,부상자 (명),2014,흐림,38
용산구,부상자 (명),2015,눈,9
용산구,부상자 (명),2015,맑음,1865
용산구,부상자 (명),2015,비,172
용산구,부상자 (명),2015,안개,-
