구,연월,발생건수,부상자수,사망자수
강북구,2021-06-01,79,109,0
강북구,2021-07-01,83,119,1
강북구,2021-08-01,81,99,0
강북구,2021-09-01,64,79,1
강북구,2021-10-01,80,108,0
강북구,2021-11-01,92,121,0
강북구,2021-12-01,94,112,1
강북구,2022-01-01,78,97,0
강북구,2022-02-01,82,107,0
강북구,2022-03-01,57,72,0
강북구,2022-04-01,73,85,1
강북구,2022-05-01,97,119,0
강북구,2022-06-01,83,100,0
강북구,2022-07-01,102,125,0
강북구,2022-08-01,94,112,0
강북구,2022-09-01,90,104,1
강북구,2022-10-01,103,122,2
강북구,2022-11-01,97,115,1
강북구,2022-12-01,88,108,1
강북구,2023-01-01,82,100,1
강북구,2023-02-01,53,64,0
강북구,2023-03-01,75,101,1
강북구,2023-04-01,83,101,1
강북구,2023-05-01,87,107,0
강북구,2023-06-01,82,109,1
강북구,2023-07-01,68,85,0
강북구,2023-08-01,91,114,1
강북구,2023-09-01,95,111,0
강북구,2023-10-01,89,106,0
강북구,2023-11-01,81,109,0
강북구,2023-12-01,86,110,0
강북구,2024-01-01,67,84,0
강북구,2024-02-01,62,72,0
강북구,2024-03-01,77,109,1
강북구,2024-04-01,76,99,0
강북구,2024-05-01,73,99,2
강북구,2024-06-01,68,78,0
강북구,2024-07-01,72,99,0
강북구,2024-08-01,70,84,0
강북구,2024-09-01,75,101,1
강북구,2024-10-01,78,99,1
강북구,2024-11-01,91,110,0
강북구,2024-12-01,68,89,0
강서구,2005-01-01,128,210,0
강서구,2005-02-01,110,177,1
강서구,2005-03-01,156,224,3
강서구,2005-04-01,157,222,1
강서구,2005-05-01,154,242,2
강서구,2005-06-01,147,232,0
강서구,2005-07-01,183,240,2
강서구,2005-08-01,159,240,2
강서구,2005-09-01,150,229,2
강서구,2005-10-01,137,221,3
강서구,2005-11-01,169,260,2
강서구,2005-12-01,144,228,1
강서구,2006-01-01,113,166,1
강서구,2006-02-01,114,163,0
강서구,2006-03-01,160,241,2
강서구,2006-04-01,163,221,4
강서구,2006-05-01,166,232,1
강서구,2006-06-01,151,229,2
강서구,2006-07-01,125,189,1
강서구,2006-08-01,129,184,2
강서구,2006-09-01,160,210,2
강서구,2006-10-01,134,219,0
강서구,2006-11-01,140,205,7
강서구,2006-12-01,132,178,2
강서구,2007-01-01,128,170,1
강서구,2007-02-01,115,158,3
강서구,2007-03-01,148,231,0
강서구,2007-04-01,151,214,2
강서구,2007-05-01,166,214,1
강서구,2007-06-01,149,215,1
강서구,2007-07-01,140,201,3
강서구,2007-08-01,122,156,5
강서구,2007-09-01,166,235,1
강서구,2007-10-01,161,226,1
강서구,2007-11-01,158,223,1
강서구,2007-12-01,165,241,0
강서구,2008-01-01,109,150,3
강서구,2008-02-01,142,211,2
강서구,2008-03-01,159,226,2
강서구,2008-04-01,156,220,1
강서구,2008-05-01,182,261,1
강서구,2008-06-01,207,269,1
강서구,2008-07-01,202,277,1
강서구,2008-08-01,193,252,0
강서구,2008-09-01,180,250,3
강서구,2008-10-01,178,233,4
강서구,2008-11-01,167,225,2
강서구,2008-12-01,181,237,2
강서구,2009-01-01,151,213,0
강서구,2009-02-01,132,185,0
강서구,2009-03-01,157,232,4
강서구,2009-04-01,145,237,1
강서구,2009-05-01,153,220,1
강서구,2009-06-01,173,237,1
강서구,2009-07-01,187,259,0
강서구,2009-08-01,197,297,0
강서구,2009-09-01,166,215,2
강서구,2009-10-01,188,250,5
강서구,2009-11-01,176,270,1
강서구,2009-12-01,169,252,0
강서구,2010-01-01,131,204,0
강서구,2010-02-01,130,166,2
강서구,2010-03-01,150,206,0
강서구,2010-04-01,132,191,1
강서구,2010-05-01,178,267,3
강서구,2010-06-01,165,206,4
강서구,2010-07-01,164,204,3
강서구,2010-08-01,162,213,3
강서구,2010-09-01,176,252,1
강서구,2010-10-01,181,264,1
강서구,2010-11-01,153,202,3
강서구,2010-12-01,150,219,0
강서구,2011-01-01,133,177,1
강서구,2011-02-01,130,181,0
강서구,2011-03-01,144,205,1
강서구,2011-04-01,165,244,3
강서구,2011-05-01,173,232,1
강서구,2011-06-01,156,233,0
강서구,2011-07-01,162,239,1
강서구,2011-08-01,168,242,1
강서구,2011-09-01,178,285,3
강서구,2011-10-01,166,250,1
강서구,2011-11-01,161,238,2
강서구,2011-12-01,149,214,2
강서구,2012-01-01,151,206,3
강서구,2012-02-01,126,196,1
