연월,구,대중교통_승객_수
2023-12-01,광진구,8636176
2023-12-01,마포구,14350245
2023-12-01,강남구,22874553
2023-12-01,서초구,16978932
2023-12-01,중랑구,6784630
2023-12-01,중구,16714048
2023-12-01,종로구,14381835
2023-12-01,은평구,9463615
2023-12-01,용산구,8126809
2023-12-01,서대문구,8976209
2023-12-01,양천구,7181003
2023-12-01,송파구,15744875
2023-12-01,성북구,10375304
2023-12-01,성동구,8861464
2023-12-01,영등포구,14296213
2024-01-01,도봉구,5596875
2024-01-01,노원구,9598659
2024-01-01,금천구,5602185
2024-01-01,구로구,10221318
2024-01-01,광진구,8503534
2024-01-01,강서구,11160092
2024-01-01,강북구,7345412
2024-01-01,강동구,6786319
2024-01-01,강남구,23646249
2024-01-01,동대문구,8532585
2024-01-01,관악구,14615918
2024-01-01,동작구,9494224
2024-01-01,마포구,14076736
2024-01-01,서대문구,8706505
2024-01-01,중구,15955511
2024-01-01,종로구,13823526
2024-01-01,은평구,9355102
2024-01-01,용산구,7774379
2024-01-01,영등포구,14404507
2024-01-01,중랑구,6669866
2024-01-01,송파구,15332806
2024-01-01,성북구,9805138
2024-01-01,성동구,8735402
2024-01-01,서초구,17208116
2024-01-01,양천구,7213445
2024-02-01,도봉구,5184356
2024-02-01,강남구,21353190
2024-02-01,강동구,6225349
2024-02-01,강북구,6847926
2024-02-01,강서구,10274287
2024-02-01,관악구,13414904
2024-02-01,광진구,7869907
2024-02-01,구로구,9380937
2024-02-01,금천구,5105001
2024-02-01,노원구,8860278
2024-02-01,동대문구,7896280
2024-02-01,동작구,8695141
2024-02-01,마포구,13084884
2024-02-01,중랑구,6189955
2024-02-01,중구,14918908
2024-02-01,종로구,12842020
2024-02-01,은평구,8714033
2024-02-01,영등포구,13183835
2024-02-01,용산구,7322376
2024-02-01,송파구,14087953
2024-02-01,성북구,9064537
2024-02-01,성동구,8030006
2024-02-01,서초구,15806368
2024-02-01,서대문구,7991304
2024-02-01,양천구,6640566
2024-03-01,금천구,5626997
2024-03-01,도봉구,5936921
2024-03-01,노원구,10402891
2024-03-01,구로구,10665485
2024-03-01,마포구,15226769
2024-03-01,관악구,15692139
2024-03-01,강서구,11531464
2024-03-01,강북구,7845836
2024-03-01,강동구,7063497
2024-03-01,동대문구,9446897
2024-03-01,광진구,9240628
2024-03-01,강남구,23917810
2024-03-01,성북구,11281677
2024-03-01,서대문구,9621161
2024-03-01,서초구,17860907
2024-03-01,성동구,9469528
2024-03-01,송파구,16097163
2024-03-01,양천구,7450638
2024-03-01,영등포구,14901584
2024-03-01,용산구,8636454
2024-03-01,은평구,9991481
2024-03-01,종로구,15119826
2024-03-01,중구,17300220
2024-03-01,중랑구,7126691
2024-03-01,동작구,10419238
2024-04-01,도봉구,5924304
2024-04-01,노원구,10371286
2024-04-01,금천구,5696347
2024-04-01,구로구,10723840
2024-04-01,동대문구,9372913
2024-04-01,관악구,15612165
2024-04-01,강서구,11562115
2024-04-01,강북구,7848282
2024-04-01,강동구,7042452
2024-04-01,강남구,23968866
2024-04-01,광진구,9309782
2024-04-01,동작구,10546507
2024-04-01,송파구,16532227
2024-04-01,서대문구,9662024
2024-04-01,중랑구,7160158
2024-04-01,중구,17518913
2024-04-01,종로구,15162051
2024-04-01,은평구,10105377
2024-04-01,용산구,8753661
2024-04-01,마포구,15197739
2024-04-01,양천구,7483566
2024-04-01,성북구,11269833
2024-04-01,성동구,9594221
2024-04-01,서초구,17910110
2024-04-01,영등포구,15373580
2024-05-01,동대문구,9700447
2024-05-01,강남구,24217662
2024-05-01,강동구,7181171
2024-05-01,강북구,8074931
2024-05-01,강서구,11715744
2024-05-01,관악구,15899764
2024-05-01,광진구,9597126
2024-05-01,구로구,10850445
2024-05-01,금천구,5722605
2024-05-01,도봉구,6074956
2024-05-01,동작구,10751797
2024-05-01,노원구,10819499
2024-05-01,서대문구,9900629
2024-05-01,마포구,15576170
2024-05-01,중구,17743303
2024-05-01,종로구,15748346
2024-05-01,중랑구,7390055
2024-05-01,용산구,8936462
2024-05-01,영등포구,15227285
2024-05-01,은평구,10271965
2024-05-01,송파구,16621993
2024-05-01,성북구,11631257
2024-05-01,성동구,9621866
2024-05-01,서초구,18233907
2024-05-01,양천구,7594851
2024-06-01,강서구,11196474
2024-06-01,강북구,7611544
2024-06-01,관악구,15080901
2024-06-01,광진구,8924593
2024-06-01,구로구,10372937
2024-06-01,금천구,5462804
2024-06-01,노원구,9887898
2024-06-01,도봉구,5744588
2024-06-01,서초구,17336922
2024-06-01,동작구,10085329
2024-06-01,마포구,14614179
2024-06-01,서대문구,9173588
2024-06-01,성동구,9032499
2024-06-01,성북구,10610185
2024-06-01,송파구,15764791
2024-06-01,강동구,6827928
2024-06-01,동대문구,9027478
2024-06-01,강남구,23263850
2024-06-01,영등포구,14617848
2024-06-01,양천구,7230847
2024-06-01,중랑구,6901141
2024-06-01,중구,16631416
2024-06-01,종로구,14469257
2024-06-01,은평구,9736879
2024-06-01,용산구,8539757
2024-07-01,서초구,18137120
2024-07-01,강남구,25011477
2024-07-01,강북구,7843276
2024-07-01,강서구,11771738
2024-07-01,관악구,15585126
2024-07-01,광진구,8906666
2024-07-01,구로구,10881428
2024-07-01,금천구,5845809
2024-07-01,서대문구,9418713
2024-07-01,노원구,10112793
2024-07-01,동대문구,9064748
2024-07-01,동작구,10166279
2024-07-01,마포구,15231598
2024-07-01,중랑구,7123812
2024-07-01,중구,17097807
2024-07-01,종로구,14594896
2024-07-01,은평구,10093298
2024-07-01,용산구,8578556
2024-07-01,영등포구,15251328
2024-07-01,양천구,7636945
2024-07-01,송파구,16430559
2024-07-01,성북구,10576705
2024-07-01,성동구,9296830
2024-07-01,도봉구,5954264
2024-07-01,강동구,7184834
2024-08-01,동작구,9562835
2024-08-01,중구,17255991
2024-08-01,중랑구,7085074
2024-08-01,강남구,23691109
2024-08-01,강동구,7280005
2024-08-01,강북구,7655550
2024-08-01,강서구,11198371
2024-08-01,관악구,15158325
2024-08-01,구로구,10316526
2024-08-01,금천구,5411455
2024-08-01,노원구,8518699
2024-08-01,농원구,712572
2024-08-01,도봉구,5880241
2024-08-01,광진구,8456861
2024-08-01,마포구,14585046
2024-08-01,동대문구,8157811
2024-08-01,은평구,10030115
2024-08-01,용산구,8387419
2024-08-01,영등포구,14317497
2024-08-01,양천구,7468753
2024-08-01,종로구,13636959
2024-08-01,성북구,10091452
2024-08-01,성동구,8708711
2024-08-01,서초구,17487723
2024-08-01,서대문구,8157820
2024-08-01,송파구,15770819
2024-09-01,도봉구,5809672
2024-09-01,농원구,786242
2024-09-01,노원구,8213242
2024-09-01,금천구,5118485
2024-09-01,구로구,9964973
2024-09-01,강서구,10795702
2024-09-01,관악구,14958663
2024-09-01,강북구,7635525
2024-09-01,강동구,7101748
2024-09-01,강남구,22270105
2024-09-01,광진구,8542202
2024-09-01,동대문구,8376052
2024-09-01,송파구,15283262
2024-09-01,마포구,14487768
2024-09-01,동작구,9789032
2024-09-01,중구,17268660
2024-09-01,종로구,13902471
2024-09-01,은평구,9868785
2024-09-01,중랑구,7023836
2024-09-01,영등포구,13772995
2024-09-01,용산구,8467797
2024-09-01,성북구,10593191
2024-09-01,성동구,8782001
2024-09-01,서초구,16959273
2024-09-01,서대문구,8243169
2024-09-01,양천구,7204520
2024-10-01,농원구,875274
2024-10-01,노원구,8852955
2024-10-01,금천구,5519436
2024-10-01,구로구,10756496
2024-10-01,강남구,24544838
2024-10-01,관악구,16291444
2024-10-01,강서구,11699412
2024-10-01,강북구,8156701
2024-10-01,강동구,7767982
2024-10-01,도봉구,6233284
2024-10-01,광진구,9376724
2024-10-01,동대문구,8987957
2024-10-01,송파구,16555250
2024-10-01,마포구,15878979
