district,year,weather,발생건수,사상자수
마포구,2016,맑음,1556.0,2305.0
마포구,2016,비,117.0,166.0
마포구,2016,흐림,83.0,127.0
마포구,2017,눈,11.0,15.0
마포구,2017,맑음,1724.0,2582.0
마포구,2017,비,88.0,153.0
마포구,2017,흐림,35.0,50.0
마포구,2018,눈,8.0,11.0
마포구,2018,맑음,1518.0,2226.0
마포구,2018,비,101.0,139.0
마포구,2018,흐림,27.0,40.0
마포구,2019,눈,5.0,9.0
마포구,2019,맑음,1295.0,1817.0
마포구,2019,비,96.0,155.0
마포구,2019,흐림,48.0,68.0
마포구,2020,눈,3.0,3.0
마포구,2020,맑음,1115.0,1549.0
마포구,2020,비,95.0,131.0
마포구,2020,흐림,53.0,73.0
마포구,2021,눈,5.0,8.0
마포구,2021,맑음,969.0,1411.0
마포구,2021,비,83.0,109.0
마포구,2021,흐림,42.0,55.0
마포구,2022,눈,4.0,4.0
마포구,2022,맑음,947.0,1328.0
마포구,2022,비,44.0,63.0
마포구,2022,흐림,34.0,42.0
마포구,2023,눈,3.0,4.0
마포구,2023,맑음,1052.0,1469.0
마포구,2023,비,87.0,119.0
마포구,2023,흐림,48.0,59.0
서대문구,2013,눈,16.0,23.0
서대문구,2013,맑음,926.0,1363.0
서대문구,2013,비,89.0,128.0
서대문구,2013,흐림,47.0,75.0
서대문구,2014,눈,10.0,10.0
서대문구,2014,맑음,966.0,1383.0
서대문구,2014,비,60.0,84.0
서대문구,2014,흐림,84.0,127.0
서대문구,2015,눈,0.0,0.0
서대문구,2015,맑음,946.0,1326.0
서대문구,2015,비,63.0,93.0
서대문구,2015,흐림,61.0,85.0
서대문구,2016,눈,1.0,1.0
서대문구,2016,맑음,981.0,1347.0
서대문구,2016,비,51.0,72.0
서대문구,2016,흐림,102.0,160.0
서대문구,2017,눈,5.0,7.0
서대문구,2017,맑음,946.0,1305.0
서대문구,2017,비,33.0,49.0
서대문구,2017,흐림,48.0,77.0
서대문구,2018,눈,1.0,1.0
서대문구,2018,맑음,911.0,1232.0
서대문구,2018,비,50.0,72.0
서대문구,2018,흐림,70.0,102.0
서대문구,2019,눈,2.0,3.0
서대문구,2019,맑음,962.0,1386.0
서대문구,2019,비,59.0,89.0
서대문구,2019,흐림,81.0,133.0
서대문구,2020,눈,0.0,0.0
서대문구,2020,맑음,808.0,1094.0
서대문구,2020,비,55.0,76.0
서대문구,2020,흐림,63.0,90.0
서대문구,2021,눈,4.0,6.0
서대문구,2021,맑음,790.0,1011.0
서대문구,2021,비,49.0,70.0
서대문구,2021,흐림,85.0,126.0
서대문구,2022,눈,2.0,2.0
서대문구,2022,맑음,839.0,1115.0
서대문구,2022,비,45.0,50.0
서대문구,2022,흐림,82.0,130.0
서대문구,2023,눈,2.0,3.0
서대문구,2023,맑음,785.0,1040.0
서대문구,2023,비,57.0,75.0
서대문구,2023,흐림,68.0,100.0
