구,연월,지하철_승객_수
노원구,2023-08,4863463.0
노원구,2023-09,5002676.0
노원구,2023-10,5227715.0
노원구,2023-11,5327371.0
노원구,2023-12,5397589.0
노원구,2024-01,5419230.0
노원구,2024-02,4978245.0
노원구,2024-03,5865398.0
노원구,2024-04,5842954.0
노원구,2024-05,6143115.0
노원구,2024-06,5482766.0
노원구,2024-07,5518649.0
노원구,2024-08,5026894.0
노원구,2024-09,4915591.0
노원구,2024-10,5432941.0
노원구,2024-11,5455952.0
노원구,2024-12,5400688.0
노원구,2025-01,4377254.0
노원구,2025-02,4721223.0
노원구,2025-03,5477607.0
노원구,2025-04,1059935.0
도봉구,2021-11,77074.0
도봉구,2021-12,152871.0
도봉구,2022-01,2091604.0
도봉구,2022-02,1799597.0
도봉구,2022-03,2022284.0
도봉구,2022-04,2261382.0
도봉구,2022-05,2469087.0
도봉구,2022-06,2299420.0
도봉구,2022-07,2318278.0
도봉구,2022-08,2280479.0
도봉구,2022-09,2155976.0
도봉구,2022-10,2465893.0
도봉구,2022-11,2398412.0
도봉구,2022-12,2337053.0
도봉구,2023-01,2154361.0
도봉구,2023-02,2179243.0
도봉구,2023-03,2529358.0
도봉구,2023-04,2398437.0
도봉구,2023-05,2471477.0
도봉구,2023-06,2389063.0
도봉구,2023-07,2325191.0
도봉구,2023-08,2271974.0
도봉구,2023-09,2312057.0
도봉구,2023-10,2444866.0
도봉구,2023-11,2431888.0
도봉구,2023-12,2414273.0
도봉구,2024-01,2373229.0
도봉구,2024-02,2184965.0
도봉구,2024-03,2531987.0
도봉구,2024-04,2518079.0
도봉구,2024-05,2588374.0
도봉구,2024-06,2396841.0
도봉구,2024-07,2428844.0
도봉구,2024-08,2231393.0
도봉구,2024-09,2301199.0
도봉구,2024-10,2560004.0
도봉구,2024-11,2533594.0
도봉구,2024-12,2494292.0
도봉구,2025-01,2065085.0
도봉구,2025-02,2203231.0
도봉구,2025-03,2521742.0
도봉구,2025-04,490894.0
동대문구,2021-11,90680.0
동대문구,2021-12,191199.0
동대문구,2022-01,2661786.0
동대문구,2022-02,2214711.0
동대문구,2022-03,2558290.0
동대문구,2022-04,2867734.0
동대문구,2022-05,3148174.0
