자치구,연도,사고유형,발생건수,부상자수,사망자수
금천구,2018,합계,932,1326,6
금천구,2019,차대사람,259,270,5
금천구,2019,차대차,626,1046,2
금천구,2019,차량단독,35,37,2
금천구,2019,합계,920,1353,9
금천구,2020,차대사람,197,218,3
금천구,2020,차대차,563,809,2
금천구,2020,차량단독,50,57,1
금천구,2020,합계,810,1084,6
금천구,2021,차대사람,173,176,6
금천구,2021,차대차,616,950,10
금천구,2021,차량단독,38,41,-
금천구,2021,합계,827,1167,16
금천구,2022,차대사람,208,208,5
금천구,2022,차대차,603,908,3
금천구,2022,차량단독,33,36,1
금천구,2022,합계,844,1152,9
금천구,2023,차대사람,225,241,3
금천구,2023,차대차,599,939,2
금천구,2023,차량단독,52,52,2
금천구,2023,합계,876,1232,7
노원구,2005,차대사람,388,412,8
노원구,2005,차대차,1303,2173,11
노원구,2005,차량단독,31,53,1
노원구,2005,합계,1722,2638,20
노원구,2006,차대사람,341,363,4
노원구,2006,차대차,1206,2044,7
노원구,2006,차량단독,36,40,5
노원구,2006,합계,1583,2447,16
노원구,2007,차대사람,390,407,9
노원구,2007,차대차,1286,1941,14
노원구,2007,차량단독,31,32,3
노원구,2007,합계,1707,2380,26
노원구,2008,차대사람,455,460,10
노원구,2008,차대차,1244,1972,8
노원구,2008,차량단독,43,44,4
노원구,2008,합계,1742,2476,22
노원구,2009,차대사람,472,484,11
노원구,2009,차대차,1311,2058,10
노원구,2009,차량단독,45,58,-
노원구,2009,합계,1829,2602,21
노원구,2010,차대사람,443,462,11
노원구,2010,차대차,1197,1922,9
노원구,2010,차량단독,43,50,5
노원구,2010,합계,1683,2434,25
노원구,2011,차대사람,436,460,8
노원구,2011,차대차,1061,1738,5
노원구,2011,차량단독,32,33,1
노원구,2011,합계,1529,2231,14
노원구,2012,차대사람,420,439,10
노원구,2012,차대차,1164,1843,3
노원구,2012,차량단독,39,48,-
노원구,2012,합계,1623,2330,13
노원구,2013,차대사람,397,405,5
노원구,2013,차대차,1087,1725,4
노원구,2013,차량단독,38,45,4
노원구,2013,합계,1522,2175,13
노원구,2014,차대사람,412,431,9
노원구,2014,차대차,1062,1560,6
노원구,2014,차량단독,42,47,2
노원구,2014,합계,1516,2038,17
노원구,2015,차대사람,399,414,5
노원구,2015,차대차,1008,1616,6
노원구,2015,차량단독,52,68,4
노원구,2015,합계,1459,2098,15
노원구,2016,차대사람,387,412,6
노원구,2016,차대차,1097,1745,6
노원구,2016,차량단독,51,59,1
노원구,2016,합계,1535,2216,13
노원구,2017,차대사람,376,399,5
노원구,2017,차대차,1075,1594,4
노원구,2017,차량단독,48,62,2
노원구,2017,합계,1499,2055,11
노원구,2018,차대사람,383,402,9
노원구,2018,차대차,1138,1771,3
노원구,2018,차량단독,48,54,2
노원구,2018,합계,1569,2227,14
노원구,2019,차대사람,415,437,6
노원구,2019,차대차,1254,1823,2
노원구,2019,차량단독,34,42,-
노원구,2019,합계,1703,2302,8
노원구,2020,차대사람,286,298,3
노원구,2020,차대차,1142,1676,2
노원구,2020,차량단독,34,42,-
노원구,2020,합계,1462,2016,5
노원구,2021,차대사람,280,298,2
노원구,2021,차대차,1078,1588,-
노원구,2021,차량단독,55,54,6
노원구,2021,합계,1413,1940,8
노원구,2022,차대사람,310,324,2
노원구,2022,차대차,1030,1536,2
노원구,2022,차량단독,44,53,2
노원구,2022,합계,1384,1913,6
노원구,2023,차대사람,269,278,5
노원구,2023,차대차,1065,1552,3
노원구,2023,차량단독,32,39,1
노원구,2023,합계,1366,1869,9
도봉구,2005,차대사람,267,278,3
도봉구,2005,차대차,652,1118,5
도봉구,2005,차량단독,9,13,-
도봉구,2005,합계,928,1409,8
도봉구,2006,차대사람,218,236,6
도봉구,2006,차대차,620,1115,1
도봉구,2006,차량단독,18,21,2
도봉구,2006,합계,856,1372,9
도봉구,2007,차대사람,239,263,2
도봉구,2007,차대차,540,910,8
도봉구,2007,차량단독,17,18,1
도봉구,2007,합계,796,1191,11
도봉구,2008,차대사람,323,333,12
도봉구,2008,차대차,688,1106,4
도봉구,2008,차량단독,25,28,1
도봉구,2008,합계,1036,1467,17
도봉구,2009,차대사람,281,299,10
도봉구,2009,차대차,685,1083,6
도봉구,2009,차량단독,22,23,1
도봉구,2009,합계,988,1405,17
도봉구,2010,차대사람,289,300,5
도봉구,2010,차대차,665,1038,5
도봉구,2010,차량단독,21,24,1
도봉구,2010,합계,975,1362,11
도봉구,2011,차대사람,293,300,7
도봉구,2011,차대차,614,955,5
도봉구,2011,차량단독,26,24,3
도봉구,2011,합계,933,1279,15
도봉구,2012,차대사람,324,327,10
도봉구,2012,차대차,634,939,5
도봉구,2012,차량단독,25,28,1
도봉구,2012,합계,983,1294,16
도봉구,2013,차대사람,290,300,5
도봉구,2013,차대차,619,929,3
도봉구,2013,차량단독,25,30,-
도봉구,2013,합계,934,1259,8
도봉구,2014,차대사람,312,315,11
도봉구,2014,차대차,582,861,3
도봉구,2014,차량단독,25,29,-
도봉구,2014,합계,919,1205,14
도봉구,2015,차대사람,270,274,6
도봉구,2015,차대차,602,924,1
도봉구,2015,차량단독,42,57,1
도봉구,2015,합계,914,1255,8
도봉구,2016,차대사람,298,306,9
도봉구,2016,차대차,621,966,2
도봉구,2016,차량단독,30,34,-
도봉구,2016,합계,949,1306,11
도봉구,2017,차대사람,309,318,3
도봉구,2017,차대차,593,879,5
도봉구,2017,차량단독,42,42,1
도봉구,2017,합계,944,1239,9
도봉구,2018,차대사람,282,291,5
도봉구,2018,차대차,504,729,1
도봉구,2018,차량단독,38,41,-
도봉구,2018,합계,824,1061,6
도봉구,2019,차대사람,263,283,2
도봉구,2019,차대차,554,844,-
도봉구,2019,차량단독,35,36,2
도봉구,2019,합계,852,1163,4
도봉구,2020,차대사람,224,230,4
도봉구,2020,차대차,490,730,3
도봉구,2020,차량단독,27,30,-
도봉구,2020,합계,741,990,7
도봉구,2021,차대사람,167,181,1
도봉구,2021,차대차,395,554,2
도봉구,2021,차량단독,29,33,-
도봉구,2021,합계,591,768,3
도봉구,2022,차대사람,159,176,2
도봉구,2022,차대차,343,508,-
도봉구,2022,차량단독,20,21,-
도봉구,2022,합계,522,705,2
도봉구,2023,차대사람,134,137,4
도봉구,2023,차대차,363,514,2
도봉구,2023,차량단독,33,34,1
도봉구,2023,합계,530,685,7
동대문구,2005,차대사람,415,416,13
동대문구,2005,차대차,1254,2034,8
동대문구,2005,차량단독,31,39,-
동대문구,2005,합계,1700,2489,21
