연도,자치구,가해_발생건수,피해_발생건수,가해_사망자수,피해_사망자수,가해_부상자수,피해_부상자수
2023,광진구,38,31,0,0,40,35
2023,동대문구,119,102,0,1,130,110
2023,중랑구,88,73,0,1,101,79
2023,성북구,33,26,0,1,35,32
2023,강북구,45,22,0,0,47,23
2023,도봉구,36,37,0,1,40,37
2023,노원구,77,78,1,1,84,79
2023,은평구,32,38,0,0,39,38
2023,서대문구,23,20,0,0,24,22
2023,마포구,37,47,1,1,37,51
2023,양천구,67,51,1,0,73,58
2023,강서구,76,80,0,0,81,83
2023,구로구,78,58,0,0,85,63
2023,금천구,38,24,0,1,46,27
2023,영등포구,150,97,1,0,169,109
2023,동작구,48,34,0,0,52,38
2023,관악구,18,29,0,1,18,30
2023,서초구,47,34,0,0,50,37
2023,강남구,105,67,0,0,124,79
2023,송파구,181,178,1,0,208,199
2023,강동구,69,81,0,0,75,86
