동별,구분별,연월,거주인구,유동인구
강북구,계,2008-12-01,345754,0
강북구,계,2009-01-01,345346,0
강북구,계,2009-02-01,345346,0
강북구,계,2009-03-01,345346,0
강북구,계,2009-04-01,345090,0
강북구,계,2009-05-01,345090,0
강북구,계,2009-06-01,345090,0
강북구,계,2009-07-01,345020,0
강북구,계,2009-08-01,345020,0
강북구,계,2009-09-01,345020,0
강북구,계,2009-10-01,343912,0
강북구,계,2009-11-01,343912,0
강북구,계,2009-12-01,343912,0
강북구,계,2010-01-01,342669,0
강북구,계,2010-02-01,342669,0
강북구,계,2010-03-01,342669,0
강북구,계,2010-04-01,343442,0
강북구,계,2010-05-01,343442,0
강북구,계,2010-06-01,343442,0
강북구,계,2010-07-01,344727,0
강북구,계,2010-08-01,344727,0
강북구,계,2010-09-01,344727,0
강북구,계,2010-10-01,350007,0
강북구,계,2010-11-01,350007,0
강북구,계,2010-12-01,350007,0
강북구,계,2011-01-01,349943,0
강북구,계,2011-02-01,349943,0
강북구,계,2011-03-01,349943,0
강북구,계,2011-04-01,349354,0
강북구,계,2011-05-01,349354,0
강북구,계,2011-06-01,349354,0
강북구,계,2011-07-01,348710,0
강북구,계,2011-08-01,348710,0
강북구,계,2011-09-01,348710,0
강북구,계,2011-10-01,348740,0
강북구,계,2011-11-01,348740,0
강북구,계,2011-12-01,348740,0
강북구,계,2012-01-01,349569,0
강북구,계,2012-02-01,349569,0
강북구,계,2012-03-01,349569,0
강북구,계,2012-04-01,348912,0
강북구,계,2012-05-01,348912,0
강북구,계,2012-06-01,348912,0
강북구,계,2012-07-01,347817,0
강북구,계,2012-08-01,347817,0
강북구,계,2012-09-01,347817,0
강북구,계,2012-10-01,346493,0
강북구,계,2012-11-01,346493,0
강북구,계,2012-12-01,346493,0
강북구,계,2013-01-01,345850,0
강북구,계,2013-02-01,345850,0
강북구,계,2013-03-01,345850,0
강북구,계,2013-04-01,344546,0
강북구,계,2013-05-01,344546,0
강북구,계,2013-06-01,344546,0
강북구,계,2013-07-01,343642,0
강북구,계,2013-08-01,343642,0
강북구,계,2013-09-01,343642,0
강북구,계,2013-10-01,341921,0
강북구,계,2013-11-01,341921,0
강북구,계,2013-12-01,341921,0
강북구,계,2014-01-01,340418,0
강북구,계,2014-02-01,340418,0
강북구,계,2014-03-01,340418,0
강북구,계,2014-04-01,340167,0
강북구,계,2014-05-01,340167,0
강북구,계,2014-06-01,340167,0
강북구,계,2014-07-01,339692,0
강북구,계,2014-08-01,339692,0
강북구,계,2014-09-01,339692,0
강북구,계,2014-10-01,338410,0
강북구,계,2014-11-01,338410,0
강북구,계,2014-12-01,338410,0
강북구,계,2015-01-01,337996,0
강북구,계,2015-02-01,337996,0
강북구,계,2015-03-01,337996,0
강북구,계,2015-04-01,336981,0
강북구,계,2015-05-01,336981,0
강북구,계,2015-06-01,336981,0
강북구,계,2015-07-01,335853,0
강북구,계,2015-08-01,335853,0
강북구,계,2015-09-01,335853,0
강북구,계,2015-10-01,334426,0
강북구,계,2015-11-01,334426,0
강북구,계,2015-12-01,334426,0
강북구,계,2016-01-01,333615,0
강북구,계,2016-02-01,333615,0
강북구,계,2016-03-01,333615,0
강북구,계,2016-04-01,332737,0
강북구,계,2016-05-01,332737,0
강북구,계,2016-06-01,332737,0
