연도,자치구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,대중교통_승객수
2008,관악구,553449,162,57.0,0.0,76.0,0.0,78.0,0.0,97.0,2.0,276.0,5.0,61.0,107.0,0.0,94.0,0.0,99.0,0.0
2009,관악구,550744,164,194.0,2.0,75.0,0.0,47.0,0.0,43.0,2.0,238.0,3.0,60.0,108.0,0.0,77.0,3.0,76.0,0.0
2010,관악구,546486,154,194.0,4.0,82.0,0.0,34.0,0.0,48.0,0.0,219.0,7.0,68.0,114.0,0.0,74.0,0.0,77.0,0.0
2011,관악구,548943,144,202.0,3.0,53.0,0.0,33.0,1.0,40.0,2.0,201.0,4.0,56.0,93.0,1.0,98.0,1.0,100.0,0.0
2012,관악구,543777,142,238.0,4.0,43.0,1.0,36.0,0.0,38.0,0.0,176.0,6.0,40.0,65.0,0.0,89.0,2.0,88.0,0.0
2013,관악구,538154,146,291.0,8.0,29.0,0.0,22.0,0.0,21.0,0.0,190.0,6.0,33.0,59.0,1.0,105.0,0.0,107.0,0.0
2014,관악구,533809,143,304.0,9.0,49.0,1.0,26.0,0.0,13.0,1.0,150.0,0.0,33.0,54.0,0.0,121.0,0.0,133.0,0.0
2015,관악구,531299,135,243.0,1.0,60.0,1.0,24.0,0.0,12.0,0.0,199.0,7.0,47.0,66.0,2.0,98.0,0.0,101.0,0.0
2016,관악구,528280,117,159.0,6.0,36.0,3.0,29.0,1.0,44.0,2.0,169.0,1.0,18.0,24.0,0.0,72.0,1.0,71.0,0.0
2017,관악구,523288,104,139.0,3.0,33.0,0.0,15.0,0.0,35.0,3.0,151.0,4.0,19.0,25.0,0.0,56.0,0.0,60.0,0.0
2018,관악구,521494,108,141.0,2.0,30.0,0.0,31.0,2.0,45.0,1.0,118.0,2.0,21.0,36.0,0.0,56.0,1.0,55.0,0.0
2019,관악구,519449,113,152.0,2.0,25.0,0.0,15.0,0.0,44.0,2.0,123.0,2.0,23.0,27.0,1.0,74.0,1.0,79.0,0.0
2020,관악구,514334,120,145.0,4.0,26.0,0.0,18.0,1.0,38.0,0.0,115.0,2.0,23.0,27.0,1.0,77.0,3.0,75.0,0.0
2021,관악구,501964,118,171.0,2.0,13.0,0.0,19.0,0.0,33.0,1.0,91.0,2.0,17.0,23.0,2.0,62.0,0.0,70.0,1464019.0
2022,관악구,500788,97,145.0,1.0,14.0,0.0,23.0,0.0,41.0,0.0,70.0,5.0,29.0,38.0,0.0,57.0,1.0,60.0,174329366.0
2023,관악구,500880,81,159.0,3.0,24.0,0.0,24.0,0.0,27.0,1.0,57.0,0.0,31.0,37.0,0.0,47.0,1.0,48.0,178524880.0
2024,관악구,496887,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184717643.0
2025,관악구,497213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46940488.0
2005,광진구,0,130,182.0,4.0,3.0,0.0,17.0,0.0,20.0,0.0,136.0,8.0,94.0,135.0,1.0,102.0,1.0,107.0,0.0
2006,광진구,0,133,84.0,1.0,9.0,0.0,51.0,0.0,41.0,0.0,158.0,5.0,92.0,145.0,0.0,98.0,1.0,101.0,0.0
2007,광진구,0,139,72.0,0.0,40.0,1.0,41.0,1.0,85.0,1.0,177.0,6.0,70.0,114.0,1.0,129.0,0.0,133.0,0.0
2008,광진구,388065,137,32.0,1.0,43.0,0.0,52.0,0.0,72.0,4.0,179.0,3.0,52.0,87.0,1.0,161.0,0.0,171.0,0.0
2009,광진구,387379,138,104.0,1.0,45.0,0.0,27.0,1.0,53.0,1.0,177.0,4.0,73.0,114.0,3.0,175.0,6.0,180.0,0.0
2010,광진구,386087,128,165.0,2.0,15.0,0.0,19.0,0.0,34.0,0.0,144.0,6.0,49.0,87.0,0.0,157.0,2.0,161.0,0.0
2011,광진구,387923,119,179.0,4.0,2.0,0.0,25.0,1.0,19.0,1.0,131.0,10.0,56.0,80.0,3.0,128.0,1.0,130.0,0.0
2012,광진구,385599,124,231.0,3.0,8.0,0.0,10.0,0.0,28.0,1.0,128.0,4.0,76.0,129.0,0.0,179.0,1.0,183.0,0.0
2013,광진구,382734,108,204.0,1.0,14.0,0.0,18.0,0.0,8.0,1.0,109.0,1.0,44.0,70.0,0.0,172.0,2.0,180.0,0.0
2014,광진구,379486,123,228.0,2.0,7.0,0.0,24.0,1.0,14.0,0.0,137.0,4.0,35.0,59.0,0.0,223.0,1.0,246.0,0.0
2015,광진구,376238,102,158.0,3.0,18.0,0.0,19.0,0.0,38.0,0.0,107.0,4.0,42.0,64.0,1.0,198.0,1.0,217.0,0.0
2016,광진구,373658,87,137.0,0.0,11.0,0.0,15.0,0.0,31.0,0.0,115.0,4.0,31.0,41.0,0.0,128.0,0.0,135.0,0.0
2017,광진구,372151,88,142.0,0.0,29.0,0.0,3.0,0.0,15.0,1.0,115.0,4.0,28.0,47.0,0.0,114.0,2.0,116.0,0.0
2018,광진구,370813,92,90.0,1.0,49.0,2.0,18.0,0.0,24.0,1.0,101.0,2.0,32.0,51.0,0.0,115.0,2.0,121.0,0.0
2019,광진구,368859,81,140.0,2.0,18.0,0.0,11.0,0.0,22.0,0.0,75.0,1.0,29.0,45.0,1.0,109.0,0.0,115.0,0.0
2020,광진구,362986,72,104.0,1.0,6.0,0.0,15.0,0.0,20.0,0.0,127.0,3.0,29.0,45.0,1.0,92.0,0.0,97.0,0.0
2021,광진구,354376,76,122.0,1.0,20.0,0.0,17.0,0.0,20.0,0.0,37.0,1.0,31.0,39.0,1.0,121.0,0.0,133.0,823515.0
2022,광진구,352057,59,98.0,2.0,7.0,0.0,13.0,0.0,8.0,1.0,43.0,3.0,25.0,42.0,1.0,69.0,0.0,73.0,97556854.0
2023,광진구,351221,59,121.0,2.0,7.0,0.0,22.0,0.0,13.0,0.0,22.0,1.0,17.0,24.0,1.0,69.0,0.0,75.0,103444563.0
2024,광진구,349722,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107179699.0
2025,광진구,348660,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26594102.0
2005,구로구,0,115,125.0,5.0,13.0,0.0,29.0,1.0,44.0,0.0,150.0,8.0,58.0,87.0,1.0,69.0,2.0,78.0,0.0
2006,구로구,0,116,58.0,0.0,23.0,0.0,33.0,0.0,27.0,0.0,179.0,10.0,67.0,105.0,1.0,59.0,2.0,59.0,0.0
2007,구로구,0,123,40.0,0.0,35.0,0.0,29.0,0.0,39.0,1.0,184.0,8.0,63.0,107.0,0.0,87.0,2.0,94.0,0.0
2008,구로구,449012,131,24.0,1.0,58.0,0.0,41.0,0.0,79.0,0.0,239.0,11.0,55.0,84.0,2.0,119.0,1.0,134.0,0.0
2009,구로구,449832,131,76.0,2.0,55.0,1.0,45.0,0.0,61.0,3.0,222.0,3.0,43.0,73.0,0.0,108.0,3.0,113.0,0.0
2010,구로구,449586,130,83.0,1.0,49.0,0.0,22.0,1.0,37.0,2.0,233.0,1.0,50.0,82.0,0.0,121.0,1.0,125.0,0.0
2011,구로구,455683,128,45.0,0.0,91.0,0.0,25.0,0.0,24.0,0.0,238.0,9.0,67.0,112.0,0.0,104.0,3.0,111.0,0.0
2012,구로구,457202,131,111.0,0.0,46.0,0.0,33.0,1.0,25.0,0.0,259.0,9.0,74.0,127.0,1.0,144.0,1.0,148.0,0.0
2013,구로구,453349,117,128.0,2.0,53.0,0.0,32.0,0.0,27.0,0.0,196.0,8.0,39.0,62.0,0.0,141.0,0.0,147.0,0.0
2014,구로구,456758,130,189.0,5.0,33.0,1.0,22.0,0.0,14.0,0.0,210.0,6.0,45.0,67.0,0.0,194.0,2.0,220.0,0.0
2015,구로구,456525,125,161.0,5.0,27.0,0.0,22.0,0.0,37.0,2.0,204.0,7.0,55.0,94.0,0.0,170.0,1.0,183.0,0.0
2016,구로구,452283,125,164.0,2.0,22.0,0.0,24.0,0.0,64.0,0.0,176.0,3.0,32.0,48.0,0.0,179.0,2.0,189.0,0.0
2017,구로구,444622,119,119.0,3.0,25.0,0.0,21.0,0.0,39.0,2.0,175.0,4.0,61.0,101.0,0.0,128.0,2.0,130.0,0.0
2018,구로구,439605,127,126.0,3.0,24.0,0.0,22.0,1.0,44.0,0.0,167.0,6.0,44.0,71.0,0.0,130.0,1.0,139.0,0.0
2019,구로구,439359,127,178.0,2.0,23.0,0.0,23.0,0.0,31.0,0.0,165.0,6.0,35.0,40.0,0.0,139.0,1.0,148.0,0.0
2020,구로구,435813,110,108.0,0.0,19.0,0.0,42.0,0.0,33.0,1.0,111.0,1.0,35.0,40.0,0.0,105.0,1.0,115.0,0.0
2021,구로구,423695,112,141.0,0.0,19.0,2.0,34.0,0.0,29.0,0.0,67.0,0.0,42.0,53.0,0.0,128.0,1.0,134.0,1031762.0
2022,구로구,418420,106,134.0,1.0,22.0,0.0,39.0,0.0,16.0,1.0,84.0,1.0,34.0,51.0,0.0,135.0,1.0,152.0,112366377.0
2023,구로구,417055,113,158.0,0.0,19.0,0.0,20.0,0.0,25.0,0.0,120.0,1.0,38.0,54.0,0.0,136.0,0.0,148.0,118418831.0
2024,구로구,412931,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125907419.0
2025,구로구,410727,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31760135.0
2005,금천구,0,66,88.0,3.0,13.0,0.0,11.0,0.0,18.0,1.0,79.0,4.0,64.0,89.0,2.0,23.0,2.0,23.0,0.0
2006,금천구,0,72,63.0,0.0,35.0,0.0,9.0,0.0,7.0,0.0,149.0,4.0,60.0,90.0,0.0,31.0,0.0,33.0,0.0
2007,금천구,0,72,55.0,0.0,26.0,0.0,20.0,0.0,18.0,0.0,114.0,5.0,38.0,57.0,1.0,32.0,0.0,35.0,0.0
2008,금천구,265883,80,79.0,2.0,17.0,0.0,17.0,0.0,24.0,3.0,133.0,5.0,50.0,70.0,2.0,57.0,0.0,59.0,0.0
2009,금천구,264999,90,98.0,6.0,24.0,0.0,19.0,0.0,26.0,1.0,121.0,7.0,40.0,69.0,0.0,72.0,3.0,74.0,0.0
2010,금천구,262216,93,115.0,1.0,28.0,0.0,9.0,0.0,16.0,2.0,177.0,3.0,47.0,73.0,0.0,69.0,0.0,72.0,0.0
2011,금천구,264619,93,148.0,2.0,21.0,0.0,13.0,0.0,8.0,0.0,156.0,5.0,37.0,50.0,0.0,93.0,0.0,97.0,0.0
2012,금천구,262747,84,136.0,5.0,12.0,0.0,4.0,1.0,6.0,0.0,115.0,7.0,25.0,40.0,2.0,106.0,2.0,116.0,0.0
2013,금천구,259322,78,122.0,1.0,11.0,0.0,9.0,0.0,8.0,1.0,110.0,6.0,31.0,41.0,0.0,87.0,1.0,91.0,0.0
2014,금천구,258180,85,155.0,3.0,17.0,0.0,11.0,0.0,6.0,0.0,121.0,3.0,34.0,48.0,0.0,99.0,0.0,108.0,0.0
2015,금천구,257670,76,146.0,2.0,9.0,0.0,7.0,0.0,3.0,0.0,113.0,6.0,24.0,40.0,0.0,80.0,0.0,88.0,0.0
2016,금천구,254564,66,82.0,3.0,14.0,0.0,9.0,0.0,17.0,0.0,134.0,6.0,19.0,28.0,0.0,56.0,1.0,59.0,0.0
2017,금천구,254232,68,104.0,2.0,3.0,0.0,10.0,1.0,36.0,0.0,112.0,1.0,25.0,41.0,0.0,55.0,0.0,56.0,0.0
