자치구,년월,버스승객수,발생건수,사망자수,부상자수
금천구,'2017.07,0,64,0,90
금천구,'2017.08,0,71,1,111
금천구,'2017.09,0,83,1,125
금천구,'2017.10,0,73,0,117
금천구,'2017.11,0,73,0,119
금천구,'2017.12,0,70,0,95
금천구,'2018.01,0,75,1,118
금천구,'2018.02,0,70,0,104
금천구,'2018.03,0,88,0,124
금천구,'2018.04,0,93,1,114
금천구,'2018.05,0,89,0,123
금천구,'2018.06,0,60,0,80
금천구,'2018.07,0,84,2,106
금천구,'2018.08,0,70,0,103
금천구,'2018.09,0,72,0,106
금천구,'2018.10,0,81,0,110
금천구,'2018.11,0,80,2,146
금천구,'2018.12,0,70,0,92
금천구,'2019.01,0,63,2,81
금천구,'2019.02,0,49,0,69
금천구,'2019.03,0,81,1,110
금천구,'2019.04,0,87,0,119
금천구,'2019.05,0,81,0,111
금천구,'2019.06,0,65,0,86
금천구,'2019.07,0,91,0,123
금천구,'2019.08,0,95,1,169
금천구,'2019.09,0,62,3,91
금천구,'2019.10,0,88,2,164
금천구,'2019.11,0,81,0,119
금천구,'2019.12,0,77,0,111
금천구,'2020.01,0,62,0,84
금천구,'2020.02,0,77,0,98
금천구,'2020.03,0,56,0,78
