구,연도,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,거주인구,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명),인구 10만명당 사망자수 (명),자동차 1만대당 발생건수 (건)
광진구,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,4655085.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,1035.0,41.0,372.0,1632.0,52.0,525.8,5.9,128.0
광진구,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,4627188.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,1081.0,35.0,405.0,1759.0,43.0,569.9,4.4,131.9
광진구,2013,5.0,1155.0,96.0,36.0,7.0,1712.0,141.0,52.0,203.0,4592811.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,933.0,38.0,356.0,1522.0,48.0,502.3,2.6,114.3
광진구,2014,10.0,1347.0,72.0,47.0,15.0,1896.0,113.0,65.0,231.0,4553838.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,1034.0,56.0,422.0,1608.0,63.0,551.4,3.2,130.3
광진구,2015,2.0,1127.0,76.0,27.0,2.0,1596.0,113.0,47.0,222.0,4514865.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,854.0,49.0,361.0,1347.0,53.0,464.8,4.5,107.5
광진구,2016,4.0,916.0,73.0,44.0,5.0,1278.0,106.0,76.0,188.0,4483905.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,708.0,42.0,308.0,1117.0,50.0,394.0,2.4,90.4
광진구,2017,4.0,965.0,46.0,22.0,8.0,1328.0,57.0,34.0,191.0,4465812.0,50.0,686.0,21.0,61.0,1007.0,33.0,283.0,744.0,37.0,308.0,1106.0,43.0,387.1,4.3,90.9
광진구,2018,6.0,981.0,77.0,33.0,13.0,1296.0,109.0,50.0,177.0,4449756.0,37.0,752.0,12.0,54.0,1037.0,21.0,266.0,810.0,32.0,292.0,1157.0,35.0,397.2,2.7,93.2
광진구,2019,1.0,896.0,49.0,27.0,1.0,1225.0,60.0,33.0,171.0,4426311.0,41.0,642.0,22.0,64.0,905.0,29.0,260.0,682.0,31.0,270.0,1015.0,34.0,358.6,0.8,82.8
광진구,2020,0.0,795.0,49.0,25.0,0.0,1041.0,69.0,39.0,172.0,4355841.0,23.0,557.0,23.0,36.0,776.0,31.0,190.0,649.0,30.0,201.0,918.0,30.0,318.0,1.1,73.9
광진구,2021,1.0,837.0,54.0,16.0,1.0,1095.0,78.0,22.0,190.0,4252512.0,48.0,526.0,24.0,57.0,745.0,28.0,207.0,693.0,22.0,212.0,985.0,23.0,344.8,1.1,78.7
광진구,2022,3.0,657.0,20.0,25.0,3.0,896.0,32.0,40.0,133.0,4224693.0,28.0,445.0,8.0,47.0,645.0,9.0,167.0,528.0,13.0,180.0,780.0,15.0,275.0,2.6,60.2
광진구,2023,3.0,622.0,39.0,43.0,4.0,788.0,41.0,56.0,181.0,4214652.0,27.0,476.0,13.0,28.0,624.0,19.0,186.0,517.0,14.0,188.0,700.0,15.0,256.0,1.1,61.4
